x,x,x,x,x,x,x
2010-06, 75.01 , 74.82 , 79.86 , 70.50 , 3.38M , 0.48% 
2010-07, 78.18 , 74.65 , 78.31 , 70.77 , 2.92M , 4.23% 
2010-08, 74.64 , 78.11 , 82.86 , 71.75 , 3.28M , -4.53% 
2010-09, 82.31 , 74.46 , 82.40 , 74.42 , 3.24M , 10.28% 
2010-10, 83.15 , 82.21 , 86.02 , 80.75 , 3.50M , 1.02% 
2010-11, 85.92 , 83.13 , 89.70 , 82.43 , 3.58M , 3.33% 
2010-12, 94.75 , 85.71 , 95.20 , 85.41 , 2.61M , 10.28% 
2011-01, 101.01 , 94.75 , 101.73 , 92.37 , 3.58M , 6.61% 
2011-02, 111.80 , 101.01 , 119.79 , 97.51 , 3.68M , 10.68% 
2011-03, 117.36 , 111.90 , 118.50 , 107.35 , 3.76M , 4.97% 
2011-04, 125.89 , 117.61 , 127.02 , 116.75 , 3.08M , 7.27% 
2011-05, 116.73 , 126.10 , 126.54 , 105.15 , 4.61M , -7.28% 
2011-06, 112.48 , 117.07 , 121.47 , 102.28 , 4.72M , -3.64% 
2011-07, 116.74 , 111.80 , 119.87 , 109.50 , 3.29M , 3.79% 
2011-08, 114.85 , 117.00 , 120.40 , 98.74 , 4.95M , -1.62% 
2011-09, 102.76 , 114.85 , 116.60 , 101.66 , 4.08M , -10.53% 
2011-10, 109.56 , 102.00 , 114.80 , 99.11 , 4.03M , 6.62% 
2011-11, 110.52 , 109.09 , 116.48 , 105.65 , 4.26M , 0.88% 
2011-12, 107.38 , 110.75 , 111.62 , 102.37 , 2.68M , -2.84% 
2012-01, 110.98 , 108.35 , 115.12 , 108.35 , 3.76M , 3.35% 
2012-02, 122.66 , 111.30 , 125.55 , 111.02 , 3.83M , 10.52% 
2012-03, 122.88 , 123.00 , 128.40 , 120.97 , 3.79M , 0.18% 
2012-04, 119.47 , 122.94 , 125.97 , 116.70 , 3.80M , -2.78% 
2012-05, 101.87 , 119.28 , 120.02 , 101.27 , 4.54M , -14.73% 
2012-06, 97.80 , 101.69 , 102.45 , 88.49 , 4.84M , -4.00% 
2012-07, 104.92 , 97.60 , 108.18 , 95.30 , 4.21M , 7.28% 
2012-08, 114.57 , 104.40 , 117.03 , 104.06 , 3.87M , 9.20% 
2012-09, 112.39 , 114.70 , 117.95 , 107.10 , 3.76M , -1.90% 
2012-10, 108.70 , 112.34 , 116.20 , 106.80 , 4.26M , -3.28% 
2012-11, 111.23 , 108.49 , 112.20 , 104.76 , 3.99M , 2.33% 
2012-12, 111.11 , 110.96 , 112.33 , 106.63 , 2.73M , -0.11% 
