Month,Search
2010-06,28
2010-07,13
2010-08,13
2010-09,12
2010-10,23
2010-11,11
2010-12,23
2011-01,11
2011-02,27
2011-03,10
2011-04,16
2011-05,15
2011-06,13
2011-07,0
2011-08,10
2011-09,12
2011-10,18
2011-11,9
2011-12,13
2012-01,8
2012-02,17
2012-03,16
2012-04,12
2012-05,8
2012-06,11
2012-07,13
2012-08,19
2012-09,12
2012-10,11
2012-11,12
2012-12,17
2013-01,13
2013-02,14
2013-03,13
2013-04,25
2013-05,14
2013-06,6
2013-07,32
2013-08,19
2013-09,35
2013-10,25
2013-11,24
2013-12,18
2014-01,20
2014-02,21
2014-03,18
2014-04,28
2014-05,20
2014-06,13
2014-07,12
2014-08,18
2014-09,18
2014-10,32
2014-11,26
2014-12,23
2015-01,37
2015-02,27
2015-03,21
2015-04,25
2015-05,35
2015-06,32
2015-07,21
2015-08,29
2015-09,27
2015-10,17
2015-11,23
2015-12,28
2016-01,15
2016-02,30
2016-03,28
2016-04,24
2016-05,30
2016-06,17
2016-07,18
2016-08,14
2016-09,28
2016-10,34
2016-11,20
2016-12,23
2017-01,23
2017-02,27
2017-03,24
2017-04,39
2017-05,32
2017-06,25
2017-07,31
2017-08,30
2017-09,31
2017-10,23
2017-11,43
2017-12,31
2018-01,50
2018-02,100
2018-03,48
2018-04,35
2018-05,73
2018-06,45
2018-07,73
2018-08,30
2018-09,78
2018-10,51
2018-11,48
2018-12,35
