,Death,Birth,Care
Afghanistan,65.90000,87,17.70000
Albania,18.00000,18.9,67.20000
Armenia,13.00000,24.3,94.70000
Azerbaijan,43.00000,52.8,47.00000
Bangladesh,43.00000,78,19.90000
Belarus,15.70000,20.5,99.70000
Belize,22.50000,74,90.10000
Benin,42.00000,94,60.10000
Bhutan,46.90000,28.4,77.70000
Bolivia (Plurinational State of),50.00000,71,72.10000
Brazil,39.00000,60.8,78.10000
Burkina Faso,65.00000,122,33.60000
Burundi,59.00000,58,33.50000
Cambodia,45.00000,57,59.40000
Cameroon,62.00000,119,62.50000
Central African Republic,105.20000,229,37.20000
Chad,108.20000,179,23.70000
Colombia,16.00000,71.6,89.70000
Comoros,36.00000,70,57.30000
Congo,39.00000,147,78.90000
Côte d'Ivoire,58.00000,129,47.70000
Democratic Republic of the Congo,68.00000,138,44.00000
Dominican Republic,27.00000,45.3,96.70000
Egypt,25.00000,56,66.50000
Ethiopia,59.00000,80,19.10000
Gabon,43.00000,91,78.80000
Ghana,54.70000,59,86.70000
Guatemala,45.00000,92,58.10000
Guinea,67.00000,146,56.10000
Guyana,38.00000,74,85.90000
Haiti,59.00000,49,67.70000
Honduras,24.00000,101,88.80000
India,57.00000,28.1,37.00000
Indonesia,32.00000,40.1,88.00000
Iraq,30.50000,82,52.00000
Jamaica,24.60000,45.7,92.70000
Jordan,17.00000,26,94.50000
Kazakhstan,24.50000,36,96.50000
Kenya,52.00000,96,47.80000
Lao People's Democratic Republic,75.70000,75.6,36.00000
Lesotho,91.00000,94,71.80000
Liberia,54.00000,104.8,79.80000
Madagascar,13.40000,152,96.50000
Malawi,48.00000,136,48.00000
Maldives,66.00000,12.9,45.50000
Mali,14.00000,174,97.20000
Mongolia,56.00000,26.7,41.30000
Morocco,9.80000,32,96.40000
Mozambique,45.50000,167,93.50000
Namibia,40.00000,82,30.60000
Nepal,64.00000,88,51.00000
Nicaragua,39.00000,92,81.40000
Niger,46.00000,146,50.00000
Nigeria,31.00000,145,72.40000
Pakistan,51.00000,44,31.80000
Paraguay,69.00000,62.8,51.30000
Peru,74.00000,49.4,36.10000
Philippines,34.00000,57,62.50000
Republic of Moldova,17.00000,26.7,94.40000
Rwanda,23.00000,45,83.90000
Sao Tome and Principe,50.00000,92,35.50000
Senegal,38.00000,80,77.20000
Serbia,43.00000,16.4,49.20000
Sierra Leone,21.30000,125,96.30000
South Africa,92.00000,71,86.60000
Sudan,45.00000,87,79.60000
Suriname,61.10000,57.7,47.90000
Eswatini,29.10000,87,84.60000
Republic of North Macedonia,60.20000,20.1,76.80000
Togo,51.00000,85,39.30000
Tunisia,78.20000,3,47.90000
Turkey,14.00000,26.9,85.70000
Uganda,29.00000,141,49.00000
Ukraine,54.00000,26.1,48.10000
United Republic of Tanzania,9.60000,132,94.00000
Uzbekistan,40.70000,29.5,84.20000
Viet Nam,14.10000,30.1,59.40000
Zambia,70.00000,141,58.70000
Zimbabwe,57.00000,110,65.50000
